product,sales,revenue,region,quarter,growth_pct
Laptop,150,225000,North,Q1,12.5
Phone,320,96000,South,Q1,8.2
Tablet,85,42500,East,Q1,5.1
Headphones,200,60000,West,Q1,22.3
Smartwatch,75,37500,North,Q1,35.7
Laptop,180,270000,North,Q2,20.0
Phone,290,87000,South,Q2,-9.4
Tablet,110,55000,West,Q2,29.4
Headphones,225,67500,East,Q2,12.5
Smartwatch,92,46000,South,Q2,22.7
Laptop,210,315000,East,Q3,16.7
Phone,400,120000,North,Q3,37.9
Tablet,95,47500,South,Q3,-13.6
Headphones,260,78000,West,Q3,15.6
Smartwatch,108,54000,East,Q3,17.4
Laptop,240,360000,West,Q4,14.3
Phone,380,114000,East,Q4,-5.0
Tablet,130,65000,North,Q4,36.8
Headphones,290,87000,South,Q4,11.5
Smartwatch,125,62500,West,Q4,15.7
